Date,Tailings,Chainage
2024-07-28 00:00:00,,1+700
2024-07-28 00:00:00,,1+750
2024-07-28 00:00:00,,1+850
2024-07-28 00:00:00,,1+900
2024-07-28 00:00:00,,1+950
2024-07-28 00:00:00,,2+000
2024-07-28 00:00:00,,2+100
2024-07-28 00:00:00,,2+150
2024-07-28 00:00:00,,2+250
2024-07-28 00:00:00,,2+300
2024-07-28 00:00:00,,2+400
2024-07-28 00:00:00,,2+450
2024-07-28 00:00:00,,2+550
2024-07-28 00:00:00,,2+600
2024-07-28 00:00:00,,2+700
2024-07-28 00:00:00,,2+750
2024-07-28 00:00:00,,2+850
2024-07-28 00:00:00,,2+900
2024-07-28 00:00:00,,3+000
2024-07-28 00:00:00,,3+050
2024-07-28 00:00:00,,3+150
2024-07-28 00:00:00,,3+200
2024-07-28 00:00:00,,3+300
2024-07-28 00:00:00,,3+350
2024-07-28 00:00:00,,3+400
2024-07-28 00:00:00,,3+500
2024-07-28 00:00:00,,3+550
2024-07-28 00:00:00,,3+650
2024-07-28 00:00:00,,3+700
2024-07-28 00:00:00,,3+800
2024-07-28 00:00:00,,3+850
2024-07-28 00:00:00,,3+950
2024-07-28 00:00:00,,4+000
2024-07-28 00:00:00,,4+100
2024-07-28 00:00:00,,4+150
2024-07-28 00:00:00,,4+200
2024-07-28 00:00:00,,4+300
2024-07-28 00:00:00,,4+350
2024-07-28 00:00:00,,4+450
2024-07-28 00:00:00,,4+500
2024-07-28 00:00:00,,4+600
2024-07-28 00:00:00,,4+650
2024-07-28 00:00:00,,4+750
2024-07-28 00:00:00,,4+800
2024-07-28 00:00:00,,4+900
2024-07-28 00:00:00,,4+950
2024-07-28 00:00:00,,5+050
2024-07-28 00:00:00,,5+100
2024-07-28 00:00:00,,5+200
2024-07-28 00:00:00,,5+250
2024-07-28 00:00:00,,5+350
2024-07-28 00:00:00,,5+400
2024-07-28 00:00:00,,5+450
2024-07-28 00:00:00,,5+500
2024-07-28 00:00:00,,5+550
2024-07-28 00:00:00,,5+600
2024-07-28 00:00:00,,5+650
2024-07-28 00:00:00,,5+700
2024-07-28 00:00:00,,5+750
2024-07-28 00:00:00,,5+800
2024-07-28 00:00:00,,5+850
2024-07-28 00:00:00,,5+900
2024-07-28 00:00:00,,5+950
2024-07-28 00:00:00,,6+000
2024-07-28 00:00:00,1147.83,Barge
2024-07-28 00:00:00,1147.83,RD2
2024-07-28 00:00:00,1148.959,RD1
2024-07-28 00:00:00,1150.015,5+300
2024-07-28 00:00:00,1150.47,5+150
2024-07-28 00:00:00,1151.022,5+000
2024-07-28 00:00:00,1151.5,4+850
2024-07-28 00:00:00,1152.007,4+700
2024-07-28 00:00:00,1152.634,4+550
2024-07-28 00:00:00,1152.859,4+400
2024-07-28 00:00:00,1153.679,4+250
2024-07-28 00:00:00,1154.315,4+050
2024-07-28 00:00:00,1154.351,0+450
2024-07-28 00:00:00,1154.365,0+150
2024-07-28 00:00:00,1154.38,0+300
2024-07-28 00:00:00,1155.242,3+900
2024-07-28 00:00:00,1155.495,0+900
2024-07-28 00:00:00,1155.595,0+600
2024-07-28 00:00:00,1155.749,0+750
2024-07-28 00:00:00,1155.828,1+200
2024-07-28 00:00:00,1155.941,1+050
2024-07-28 00:00:00,1156.246,3+750
2024-07-28 00:00:00,1156.347,2+050
2024-07-28 00:00:00,1156.972,1+800
2024-07-28 00:00:00,1157.04,3+600
2024-07-28 00:00:00,1157.074,1+350
2024-07-28 00:00:00,1157.082,1+500
2024-07-28 00:00:00,1157.472,1+650
2024-07-28 00:00:00,1157.889,3+450
