Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2023-07-14 12:00:00,BH20-29_CH,0,1142.65885352959
2023-07-14 12:00:00,BH20-29_ExWR,0,1142.38670271998
2023-07-14 12:00:00,BH20-29_GP-GC,0,1142.43729933228
2023-07-14 12:00:00,BH20-29_WR,0,1142.08581043462
2023-07-14 12:00:00,P3_CH,0,1144.8640418605
2023-07-14 13:00:00,BH20-29_CH,0,1142.66269883102
2023-07-14 13:00:00,BH20-29_ExWR,0,1142.38088744321
2023-07-14 13:00:00,BH20-29_GP-GC,0,1142.4326812794
2023-07-14 13:00:00,BH20-29_WR,0,1142.08118269905
2023-07-14 13:00:00,P3_CH,0,1144.86123473353
2023-07-14 14:00:00,BH20-29_CH,0,1142.66965240951
2023-07-14 14:00:00,BH20-29_ExWR,0,1142.37883824849
2023-07-14 14:00:00,BH20-29_GP-GC,0,1142.43086590556
2023-07-14 14:00:00,BH20-29_WR,0,1142.07890752235
2023-07-14 14:00:00,P3_CH,0,1144.85935366757
2023-07-14 15:00:00,BH20-29_CH,0,1142.66551871667
2023-07-14 15:00:00,BH20-29_ExWR,0,1142.37845056289
2023-07-14 15:00:00,BH20-29_GP-GC,0,1142.43057926751
2023-07-14 15:00:00,BH20-29_WR,0,1142.07830390379
2023-07-14 15:00:00,P3_CH,0,1144.85755941892
2023-07-14 16:00:00,BH20-29_CH,0,1142.66090435743
2023-07-14 16:00:00,BH20-29_ExWR,0,1142.37642905881
2023-07-14 16:00:00,BH20-29_GP-GC,0,1142.42866834674
2023-07-14 16:00:00,BH20-29_WR,0,1142.07680259559
2023-07-14 16:00:00,P3_CH,0,1144.85564941109
2023-07-14 17:00:00,BH20-29_CH,0,1142.65795629212
2023-07-14 17:00:00,BH20-29_ExWR,0,1142.37543215232
2023-07-14 17:00:00,BH20-29_GP-GC,0,1142.42780843213
2023-07-14 17:00:00,BH20-29_WR,0,1142.07582751877
2023-07-14 17:00:00,P3_CH,0,1144.85443395092
2023-07-14 18:00:00,BH20-29_CH,0,1142.65677065663
2023-07-14 18:00:00,BH20-29_ExWR,0,1142.37460139673
